"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
top-polera-simone;;;Talle;S;Color;Negro;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;S;Color;Rojo;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;S;Color;Marrón;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;S;Color;Plata;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;M;Color;Negro;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;M;Color;Rojo;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;M;Color;Marrón;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;M;Color;Plata;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;L;Color;Negro;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;L;Color;Rojo;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;L;Color;Marrón;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;L;Color;Plata;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;"Campera strong";Superiores;Color;Gris;Talle;S;;;130,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""156"" data-end=""235""><strong data-start=""156"" data-end=""235"">Campera 2 en 1 de Cuero Vegano Lavado &ndash; &iexcl;Transform&aacute; tu Look en un Instante!</strong></p>
<p data-start=""237"" data-end=""472"">S&iacute;, le&iacute;ste bien: &iexcl;dos camperas en una! Esta campera de cuero vegano lavado de calidad AAA no solo destaca por su dise&ntilde;o moderno y textura suave, sino que tambi&eacute;n se convierte f&aacute;cilmente en un chaleco, gracias a sus mangas desmontables.</p>
<ul data-start=""474"" data-end=""868"">
<li data-start=""474"" data-end=""570"">
<p data-start=""476"" data-end=""570""><strong data-start=""476"" data-end=""489"">Material:</strong> Cuero vegano lavado (calidad AAA), resistente, flexible y con acabado premium.</p>
</li>
<li data-start=""571"" data-end=""666"">
<p data-start=""573"" data-end=""666""><strong data-start=""573"" data-end=""591"">Dise&ntilde;o 2 en 1:</strong> Usala como campera completa o como chaleco, seg&uacute;n la ocasi&oacute;n o el clima.</p>
</li>
<li data-start=""667"" data-end=""755"">
<p data-start=""669"" data-end=""755""><strong data-start=""669"" data-end=""682"">Detalles:</strong> Cierres met&aacute;licos, costuras reforzadas y corte entallado que estiliza.</p>
</li>
<li data-start=""756"" data-end=""868"">
<p data-start=""758"" data-end=""868""><strong data-start=""758"" data-end=""775"">Versatilidad:</strong> Perfecta para looks urbanos, salidas informales o como pieza de transici&oacute;n entre estaciones.</p>
</li>
</ul>
<p data-start=""870"" data-end=""949"">Una prenda funcional, canchera y con mucha actitud. &iexcl;No vas a querer sac&aacute;rtela!</p>";;;;;SI;;;;
campera-strong1;;;Color;Gris;Talle;M;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;;;Color;Gris;Talle;L;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;;;Color;Gris;Talle;XL;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;;;Color;Marrón;Talle;S;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;;;Color;Marrón;Talle;M;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;;;Color;Marrón;Talle;L;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong1;;;Color;Marrón;Talle;XL;;;130,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong;"Campera strong";Superiores;Color;Negro;Talle;S;;;150,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""139"" data-end=""214""><strong data-start=""139"" data-end=""214"">Campera de Cuero Vegano Pesado &ndash; Audacia y Elegancia en una Sola Prenda</strong></p>
<p data-start=""216"" data-end=""423"">Esta campera est&aacute; pensada para mujeres que buscan un look sofisticado con actitud. Confeccionada en cuero vegano pesado de alta calidad, combina dise&ntilde;o moderno con detalles cl&aacute;sicos que marcan la diferencia.</p>
<ul data-start=""425"" data-end=""874"">
<li data-start=""425"" data-end=""536"">
<p data-start=""427"" data-end=""536""><strong data-start=""427"" data-end=""440"">Material:</strong> Cuero vegano pesado con forro interior suave al tacto, ideal para el entretiempo y el invierno.</p>
</li>
<li data-start=""537"" data-end=""672"">
<p data-start=""539"" data-end=""672""><strong data-start=""539"" data-end=""550"">Dise&ntilde;o:</strong> Recortes estrat&eacute;gicos que aportan originalidad, cuello redondo y presillas en cintura y pu&ntilde;os para un ajuste favorecedor.</p>
</li>
<li data-start=""673"" data-end=""758"">
<p data-start=""675"" data-end=""758""><strong data-start=""675"" data-end=""688"">Detalles:</strong> Botones dorados de zamak que a&ntilde;aden un toque de glamour y distinci&oacute;n.</p>
</li>
<li data-start=""759"" data-end=""874"">
<p data-start=""761"" data-end=""874""><strong data-start=""761"" data-end=""772"">Estilo:</strong> Vers&aacute;til y elegante, perfecta para elevar cualquier outfit, desde uno casual hasta uno m&aacute;s arreglado.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""876"" data-end=""942"">Una prenda de impacto, pensada para destacar en cualquier ocasi&oacute;n.</p>";;;;;SI;;;;
campera-strong;;;Color;Negro;Talle;M;;;150,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong;;;Color;Negro;Talle;L;;;150,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-strong;;;Color;Negro;Talle;XL;;;150,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-snake;"Trench Snake";Superiores;Color;Blanco;Talle;S;;;190,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""133"" data-end=""197""><strong data-start=""133"" data-end=""197"">Trench de Cuero Vegano Negro &ndash; Elegancia y Detalle Exclusivo</strong></p>
<p data-start=""199"" data-end=""365"">Este trench, parte de la colecci&oacute;n Iman Exclusive, est&aacute; confeccionado en cuero vegano de alta calidad y dise&ntilde;ado para quienes buscan sofisticaci&oacute;n y estilo atemporal.</p>
<ul data-start=""367"" data-end=""765"">
<li data-start=""367"" data-end=""432"">
<p data-start=""369"" data-end=""432""><strong data-start=""369"" data-end=""382"">Material:</strong> Cuero vegano suave y resistente en color negro.</p>
</li>
<li data-start=""433"" data-end=""546"">
<p data-start=""435"" data-end=""546""><strong data-start=""435"" data-end=""448"">Detalles:</strong> Cintur&oacute;n con hebilla forrada a juego y botones negros que realzan su dise&ntilde;o elegante y cuidado.</p>
</li>
<li data-start=""547"" data-end=""651"">
<p data-start=""549"" data-end=""651""><strong data-start=""549"" data-end=""560"">Dise&ntilde;o:</strong> Corte cl&aacute;sico que estiliza la silueta, ideal para combinar en looks formales o casuales.</p>
</li>
<li data-start=""652"" data-end=""765"">
<p data-start=""654"" data-end=""765""><strong data-start=""654"" data-end=""668"">Colecci&oacute;n:</strong> Perteneciente a la l&iacute;nea exclusiva Iman, que destaca por sus acabados premium y detalles &uacute;nicos.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""767"" data-end=""831"">Un trench que aporta distinci&oacute;n y versatilidad a tu guardarropa.</p>";;;;;SI;;;;
trench-snake;;;Color;Blanco;Talle;M;;;190,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-snake;;;Color;Blanco;Talle;L;;;190,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-snake;;;Color;Verde;Talle;S;;;190,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-snake;;;Color;Verde;Talle;M;;;190,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-snake;;;Color;Verde;Talle;L;;;190,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;"Trench suede";Superiores;Color;Beige;Talle;S;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""97"" data-end=""168""><strong data-start=""97"" data-end=""168"">Trench Cl&aacute;sico de Suede &ndash; Elegancia y Funcionalidad en Cada Detalle</strong></p>
<p data-start=""170"" data-end=""303"">Este trench de dise&ntilde;o cl&aacute;sico es la prenda ideal para quienes buscan un look sofisticado y vers&aacute;til, perfecto para cualquier ocasi&oacute;n.</p>
<ul data-start=""305"" data-end=""803"">
<li data-start=""305"" data-end=""420"">
<p data-start=""307"" data-end=""420""><strong data-start=""307"" data-end=""320"">Material:</strong> Suede de primera calidad, forrado y entretelado para mayor protecci&oacute;n contra el fr&iacute;o y la lluvia.</p>
</li>
<li data-start=""421"" data-end=""553"">
<p data-start=""423"" data-end=""553""><strong data-start=""423"" data-end=""434"">Dise&ntilde;o:</strong> Charreteras en los hombros que aportan estructura y autoridad, pu&ntilde;os con hebilla met&aacute;lica para un toque sofisticado.</p>
</li>
<li data-start=""554"" data-end=""637"">
<p data-start=""556"" data-end=""637""><strong data-start=""556"" data-end=""569"">Detalles:</strong> Botones de pasta negros que complementan el estilo con elegancia.</p>
</li>
<li data-start=""638"" data-end=""716"">
<p data-start=""640"" data-end=""716""><strong data-start=""640"" data-end=""650"">Corte:</strong> Impecable, pensado para realzar la silueta y ofrecer comodidad.</p>
</li>
<li data-start=""717"" data-end=""803"">
<p data-start=""719"" data-end=""803""><strong data-start=""719"" data-end=""735"">Durabilidad:</strong> Una inversi&oacute;n atemporal que te acompa&ntilde;ar&aacute; temporada tras temporada.</p>
</li>
</ul>
<p data-start=""805"" data-end=""878"">Un trench que combina estilo, calidad y funcionalidad en una sola prenda.</p>";;;;;SI;;;;
trench-suede;;;Color;Beige;Talle;M;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Beige;Talle;L;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Beige;Talle;XL;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Bordó;Talle;S;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Bordó;Talle;M;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Bordó;Talle;L;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Bordó;Talle;XL;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Marrón;Talle;S;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Marrón;Talle;M;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Marrón;Talle;L;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Marrón;Talle;XL;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Gris;Talle;S;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Gris;Talle;M;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Gris;Talle;L;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-suede;;;Color;Gris;Talle;XL;;;400,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-rainproof;"Trench rainproof";Superiores;Color;CREMA;Talle;S;;;368,000.00;230,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""103"" data-end=""167""><strong data-start=""103"" data-end=""167"">Trench Waterproof &ndash; Protecci&oacute;n y Estilo para los D&iacute;as Grises</strong></p>
<p data-start=""169"" data-end=""445"">Este trench confeccionado en tela waterproof de alta calidad es la prenda ideal para mantenerte elegante y a la moda sin importar el clima. Su dise&ntilde;o sofisticado y detalles &uacute;nicos te garantizan protecci&oacute;n total contra el viento y la lluvia, sin sacrificar estilo ni comodidad.</p>
<ul data-start=""447"" data-end=""989"">
<li data-start=""447"" data-end=""550"">
<p data-start=""449"" data-end=""550""><strong data-start=""449"" data-end=""462"">Material:</strong> Trench waterproof resistente al agua, con forro interior que brinda abrigo y confort.</p>
</li>
<li data-start=""551"" data-end=""634"">
<p data-start=""553"" data-end=""634""><strong data-start=""553"" data-end=""568"">Estructura:</strong> Entretelado que asegura una ca&iacute;da impecable y realza el dise&ntilde;o.</p>
</li>
<li data-start=""635"" data-end=""881"">
<p data-start=""637"" data-end=""659""><strong data-start=""637"" data-end=""657"">Detalles &uacute;nicos:</strong></p>
<ul data-start=""662"" data-end=""881"">
<li data-start=""662"" data-end=""739"">
<p data-start=""664"" data-end=""739"">Charretera extra larga en el hombro para un toque original y sofisticado.</p>
</li>
<li data-start=""742"" data-end=""804"">
<p data-start=""744"" data-end=""804"">Charretera com&uacute;n en el pu&ntilde;o que aporta un detalle cl&aacute;sico.</p>
</li>
<li data-start=""807"" data-end=""881"">
<p data-start=""809"" data-end=""881"">Canes&uacute; suelto en delantero y espalda, que genera movimiento y fluidez.</p>
</li>
</ul>
</li>
<li data-start=""882"" data-end=""989"">
<p data-start=""884"" data-end=""989""><strong data-start=""884"" data-end=""895"">Cierre:</strong> Botones combinados con cintur&oacute;n ajustable para crear diferentes estilos seg&uacute;n tu preferencia.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""991"" data-end=""1070"">Un trench vers&aacute;til y chic que eleva cualquier look, desde vestidos hasta jeans.</p>";;;;;SI;;;;
trench-rainproof;;;Color;CREMA;Talle;M;;;368,000.00;230,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-rainproof;;;Color;CREMA;Talle;L;;;368,000.00;230,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
trench-rainproof;;;Color;CREMA;Talle;XL;;;368,000.00;230,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
anillo-calma;"Anillo Calma";"Accesorios  > Anillo";;;;;;;25,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;"<p data-start=""82"" data-end=""146""><strong data-start=""82"" data-end=""146"">Anillo Calma &ndash; Elegancia y Simplicidad para tu Estilo Diario</strong></p>
<p data-start=""148"" data-end=""359"">El Anillo Calma es una pieza delicada y vers&aacute;til que aporta un toque sutil de sofisticaci&oacute;n a cualquier look. Su dise&ntilde;o minimalista y acabado pulido hacen que sea ideal para usar solo o combinar con otras joyas</p>
<p>&nbsp;</p>
<p data-start=""363"" data-end=""440"">&nbsp;</p>";;;;;SI;;;;
collar-kim;"Collar kim";"Accesorios  > Collares";;;;;;;40,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""81"" data-end=""128""><strong data-start=""81"" data-end=""128"">Collar Coraz&oacute;n Kim &ndash; Un Detalle que Enamora</strong></p>
<p>&nbsp;</p>
<p data-start=""130"" data-end=""359"">Este collar delicado y femenino presenta un colgante en forma de coraz&oacute;n que simboliza amor y ternura. Perfecto para usar solo o combinado con otras piezas, es el accesorio ideal para darle un toque rom&aacute;ntico y moderno a tu look.</p>";;;;;SI;;;;
pandora;Pandora;"Accesorios  > Pulseras ";;;;;;;60,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;"<p>Esta pulsera Pandora es el accesorio perfecto para expresar tu personalidad y recuerdos a trav&eacute;s de sus dijes &uacute;nicos y significativos. Cada dije a&ntilde;ade un toque especial, convirtiendo esta pieza en un reflejo de tu historia y estilo.</p>";;;;;SI;;;;
aro-debbie;"Aro Debbie";"Accesorios  > Aros";;;;;;;27,000.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"<p>El aro Debbie es la pieza ideal para quienes buscan un accesorio que combine elegancia y versatilidad. Su dise&ntilde;o contempor&aacute;neo y acabado impecable lo convierten en un must-have para cualquier ocasi&oacute;n.</p>";;;;;SI;;;;
top-scarf;"Top scarf";Superiores;Color;Bordó;;;;;60,300.00;45,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""125"" data-end=""200""><strong data-start=""125"" data-end=""200"">Top Strapless de Lycra con Bufanda Integrada &ndash; Versatilidad y Elegancia</strong></p>
<p data-start=""202"" data-end=""412"">Este top strapless confeccionado en lycra de alta calidad es la prenda perfecta para quienes buscan un look moderno y sofisticado. Su dise&ntilde;o sin breteles realza tus hombros con un toque de sensualidad y estilo.</p>
<ul data-start=""414"" data-end=""837"">
<li data-start=""414"" data-end=""515"">
<p data-start=""416"" data-end=""515""><strong data-start=""416"" data-end=""429"">Material:</strong> Lycra premium que se adapta suavemente al cuerpo, ofreciendo comodidad y seguridad.</p>
</li>
<li data-start=""516"" data-end=""622"">
<p data-start=""518"" data-end=""622""><strong data-start=""518"" data-end=""529"">Dise&ntilde;o:</strong> Top strapless con bufanda unida desde la espalda, que aporta sofisticaci&oacute;n y originalidad.</p>
</li>
<li data-start=""623"" data-end=""748"">
<p data-start=""625"" data-end=""748""><strong data-start=""625"" data-end=""642"">Versatilidad:</strong> La bufanda integrada permite m&uacute;ltiples estilos, ideal para combinar seg&uacute;n la ocasi&oacute;n y tu personalidad.</p>
</li>
<li data-start=""749"" data-end=""837"">
<p data-start=""751"" data-end=""837""><strong data-start=""751"" data-end=""762"">Estilo:</strong> Perfecto para eventos casuales o formales, creando looks frescos y &uacute;nicos.</p>
</li>
</ul>
<p data-start=""839"" data-end=""922"">Una pieza imprescindible para renovar tu guardarropa con elegancia y funcionalidad.</p>";;;;;SI;;;;
top-scarf;;;Color;Negro;;;;;60,300.00;45,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-scarf;;;Color;Marrón;;;;;60,300.00;45,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-scarf;;;Color;Visón;;;;;60,300.00;45,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-scarf;;;Color;Beige;;;;;60,300.00;45,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;"Blazer suede";Superiores;Color;Beige;Talle;S;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""102"" data-end=""169""><strong data-start=""102"" data-end=""169"">Blazer de Suede &ndash; Moderno, Sofisticado y con Mucha Personalidad</strong></p>
<p data-start=""171"" data-end=""416"">Este blazer confeccionado en suede es la opci&oacute;n perfecta para mujeres que buscan una prenda &uacute;nica que combine estilo y funcionalidad. Su dise&ntilde;o con recortes y pespuntes aporta un aire moderno y elegante, ideal para destacar en cualquier ocasi&oacute;n.</p>
<ul data-start=""418"" data-end=""800"">
<li data-start=""418"" data-end=""522"">
<p data-start=""420"" data-end=""522""><strong data-start=""420"" data-end=""433"">Material:</strong> Suede de alta calidad, forrado y entretelado para una estructura impecable y duradera.</p>
</li>
<li data-start=""523"" data-end=""608"">
<p data-start=""525"" data-end=""608""><strong data-start=""525"" data-end=""536"">Dise&ntilde;o:</strong> Recortes estrat&eacute;gicos y pespuntes que realzan el estilo y la silueta.</p>
</li>
<li data-start=""609"" data-end=""713"">
<p data-start=""611"" data-end=""713""><strong data-start=""611"" data-end=""624"">Detalles:</strong> Dos bolsillos aplicados en la parte delantera que combinan funcionalidad con est&eacute;tica.</p>
</li>
<li data-start=""714"" data-end=""800"">
<p data-start=""716"" data-end=""800""><strong data-start=""716"" data-end=""726"">Corte:</strong> Favorecedor y pensado para ofrecer comodidad y elegancia al mismo tiempo.</p>
</li>
</ul>
<p data-start=""802"" data-end=""888"">Un blazer imprescindible que eleva cualquier look con su dise&ntilde;o cuidado y sofisticado.</p>";;;;;SI;;;;
blazer-suede;;;Color;Beige;Talle;M;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Beige;Talle;L;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Beige;Talle;XL;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Bordó;Talle;S;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Bordó;Talle;M;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Bordó;Talle;L;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Bordó;Talle;XL;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Marrón;Talle;S;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Marrón;Talle;M;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Marrón;Talle;L;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Marrón;Talle;XL;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Gris;Talle;S;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Gris;Talle;M;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Gris;Talle;L;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-suede;;;Color;Gris;Talle;XL;;;330,000.00;142,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;"Blazer tom";Superiores;Color;Gris;Talle;S;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""113"" data-end=""188""><strong data-start=""113"" data-end=""188"">Blazer Oversize de Tela Sastrera &ndash; Modernidad y Elegancia con Comodidad</strong></p>
<p data-start=""190"" data-end=""467"">Este blazer oversize es perfecto para quienes buscan un look contempor&aacute;neo y sofisticado sin sacrificar comodidad. Su dise&ntilde;o amplio y relajado permite total libertad de movimiento, mientras que la tela sastrera de alta calidad asegura una ca&iacute;da impecable y un acabado elegante.</p>
<ul data-start=""469"" data-end=""910"">
<li data-start=""469"" data-end=""568"">
<p data-start=""471"" data-end=""568""><strong data-start=""471"" data-end=""484"">Material:</strong> Tela sastrera premium, con forro interior que brinda confort y mayor durabilidad.</p>
</li>
<li data-start=""569"" data-end=""639"">
<p data-start=""571"" data-end=""639""><strong data-start=""571"" data-end=""582"">Dise&ntilde;o:</strong> Corte oversize que combina estilo moderno y comodidad.</p>
</li>
<li data-start=""640"" data-end=""910"">
<p data-start=""642"" data-end=""657""><strong data-start=""642"" data-end=""655"">Detalles:</strong></p>
<ul data-start=""660"" data-end=""910"">
<li data-start=""660"" data-end=""743"">
<p data-start=""662"" data-end=""743"">Bolsillos ojal con tapa y un bolsillo ojal delantero, funcionales y con estilo.</p>
</li>
<li data-start=""746"" data-end=""813"">
<p data-start=""748"" data-end=""813"">Hombreras que realzan la figura y garantizan un calce perfecto.</p>
</li>
<li data-start=""816"" data-end=""910"">
<p data-start=""818"" data-end=""910"">Botones de pasta al tono: dos en delantero y tres en cada pu&ntilde;o, para un acabado sofisticado.</p>
</li>
</ul>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""912"" data-end=""976"">Una prenda clave para un guardarropa vers&aacute;til y lleno de estilo.</p>";;;;;SI;;;;
blazer-tom;;;Color;Gris;Talle;M;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Gris;Talle;L;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Gris;Talle;XL;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Visón;Talle;S;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Visón;Talle;M;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Visón;Talle;L;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Visón;Talle;XL;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Marrón;Talle;S;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Marrón;Talle;M;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Marrón;Talle;L;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;Marrón;Talle;XL;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;"Verde Militar";Talle;S;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;"Verde Militar";Talle;M;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;"Verde Militar";Talle;L;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-tom;;;Color;"Verde Militar";Talle;XL;;;250,000.00;88,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;"Top stripe";Superiores;Color;Gris;Talle;XS;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Este top confeccionado en lycra de alta calidad ofrece un dise&ntilde;o simple y sofisticado que realza tu figura con un corte ajustado y favorecedor. Perfecto para combinar con diferentes prendas y crear looks elegantes tanto de d&iacute;a como de noche.</p>";;;;;SI;;;;
top-stripe1;;;Color;Gris;Talle;S;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Gris;Talle;M;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Gris;Talle;L;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
